OBJECTID,Name,Anzahl der Einwohnerinnen und Einwohner,Anzahl der Kinder und Jugendlichen unter 18 Jahren,Anteil Kinder und Jugendlicher unter 18 Jahren an der Gesamt-bev,Anzahl älterer Einwohnerinnen und Einwohner über 64 Jahren,Anteil älterer Einwohnerinnen und Einwohner über 64 Jahren an de,Anzahl ausländischer Einwohnerinnen und Einwohner,Anteil ausländischer Einwohnerinnen und Einwohner an der Gesamt-,Anzahl der Einwohnerinnen und Einwohner mit Migrations-hintergru,Anteil der Einwohnerinnen und Einwohner mit Migrations-hintergru,Anzahl der Kinder und Jugendlichen unter 18 Jahren mit Migration,Anteil Kinder und Jugendlicher unter 18 Jahren mit Migrations-hi,Anzahl der Haushalte,Durchschnittliche Anzahl der Personen je Haushalt,Anzahl der Einpersonen-haushalte,"Anteil der Haushalte, in denen nur eine Person lebt, an allen Ha",Anzahl der Haushalte mit Kindern,"Anteil der Haushalte, in denen Kinder leben, an allen Haushalten","Anzahl der Haushalte, in denen Alleinerziehende leben","Anteil der Haushalte, in denen Alleinerziehende leben, an allen",Fläche in km²,Einwohnerinnen und Einwohner je km²,Anzahl der Lebendgeborenen,Anzahl der Sterbefälle,Zuzüge über die Stadtteilgrenze im Jahr 2017,Fortzüge über die Stadtteilgrenze im Jahr 2017,Differenz der Zuzüge und Fortzüge über die Stadtteilgrenze,Sozial-versicherungs-pflichtig Beschäftigte am Wohnort,Anteil sozial-versicherungs-pflichtig Beschäftigter am Wohnort a,Anzahl der Arbeitslosen,Anteil der Arbeitslosen an den Erwerbsfähigen (15 bis unter 65-J,Jüngere Arbeitslose im Alter von 15 bis unter 25 Jahren,Anteil jüngerer Arbeitsloser (15 bis unter 25-Jährige) an den jü,Ältere Arbeitslose im Alter von 55 bis unter 65 Jahren,Anteil älterer Arbeitsloser (55 bis unter 65-Jährige) an den ält,Anzahl der Leistungs-empfängerinnen und Leistungs-empfänger nach,Anteil der Leistungs-empfängerinnen und Leistungs-empfänger nach,Anzahl der Leistungs-empfängerinnen und Leistungs-empfänger nac1,Anteil der Leistungs-empfängerinnen und Leistungs-empfänger nac1,Anzahl der Bedarfs-gemeinschaften nach SGB II,Anzahl der Lohn- und Einkommen-steuerpflichtigen (2013),Gesamtbetrag der Einkünfte je Steuerpflichtigen (Lohn- und Einko,Anzahl der Wohngebäude,Anzahl der Wohnungen,Anzahl der bezugsfertig gewordenen Wohnungen im Jahr,Anzahl der Wohnungen in Ein- und Zweifamilien-häusern,Anteil der Wohnungen in Ein- und Zweifamilien-häusern an allen W,Durchschnittliche Wohnungsgröße in m²,Durchschnittliche Wohnfläche je Einwohner/-in in m²,Anzahl der Sozialwohnungen,Anteil der Sozialwohnungen an allen Wohnungen,Anzahl der Sozialwohnungen mit Bindungsauslauf bis 2022,Anteil der Sozialwohnungen mit Bindungsauslauf bis 2022 an allen,Durchschnittlicher Immobilienpreis für ein Grundstück in EUR/m²,Durchschnittlicher Immobilienpreis für ein Ein- bzw Zweifamilien,Durchschnittlicher Immobilienpreis für eine Eigentums-wohnung in,Kindergärten und Vorschulklassen für Kinder im Alter von 3 Jahre,Anzahl der Grundschulen,Anzahl der Schülerinnen und Schüler der Sekundarstufe I (nach Wo,Anteil der Schülerinnen und Schüler in Stadtteilschulen an allen,Anteil der Schülerinnen und Schüler in Gymnasien an allen Schüle,Anzahl der niedergelassenen Ärzte,Anzahl der Allgemeinärzte,Anzahl der Zahnärzte,Anzahl der Apotheken,Anzahl privater PKW,Anzahl der privaten PKW je 1 000 Einwohnerinnen und Einwohner,Shape__Area,Shape__Length
11,Billbrook,2097,650,30.9966618979495,116,5.53171196948021,1635,77.9685264663806,1806,85.188679245283,632,97.3805855161787,628,1.53343949044586,464,73.8853503184713,68,10.828025477707,18,26.4705882352941,6.288611786,333.45992269207,40,10,645,743,-98,493,33.5,167,11.6864940517845,24,7.25075528700906,19,10.9826589595376,1000,47.6871721506915,387,70.1086956521739,372,403,22625,83,284,0,72,25.3521126760563,65.8450704225352,8.9175011921793,0,0,0,0,248,0,0,1,1,217,79.7235023041475,13.3640552995392,0,0,0,0,297,141.630901287554,17761958.909668,18375.2068146925
12,Rothenburgsort,9225,1581,17.1382113821138,1344,14.5691056910569,2593,28.1084010840108,5147,55.6372284077397,1242,78.6075949367089,5275,1.7503317535545,3150,59.7156398104265,892,16.9099526066351,295,33.0717488789238,7.1908586958,1282.87877571396,103,101,1107,1033,74,3554,55.2,547,8.41409013997846,38,3.7037037037037,82,7.7140169332079,1841,19.9566395663957,575,41.6666666666667,912,4024,20473,523,4596,38,137,2.98085291557876,60.5395996518712,30.1615176151762,903,19.6475195822454,225,24.9,274,0,0,4,1,461,67.8958785249458,24.9457700650759,5,5,5,2,2380,257.994579945799,20311524.0654297,25712.8870102889
13,Veddel,4667,925,19.8200128562246,388,8.31369187915149,2106,45.125348189415,3374,72.3103300471496,848,91.8743228602384,2510,1.8800796812749,1433,57.0916334661355,520,20.7171314741036,146,28.0769230769231,4.3712061615,1067.66870002729,52,15,609,583,26,1769,51.5,333,9.51156812339332,29,3.90309555854643,36,10.3448275862069,1118,23.9554317548747,334,42.9305912596401,505,1911,15831,210,2040,0,14,0.686274509803922,60.9637254901961,26.6479537175916,413,20.2450980392157,98,23.7,247,0,0,2,1,340,79.7058823529412,17.0588235294118,3,3,3,0,787,168.630812084851,12341708.1831055,15718.6985919704
14,Wilhelmsburg,54169,11236,20.7424910926914,7294,13.4652661116137,17593,32.4779855636988,32447,59.9427304636985,8767,78.4027901985334,26250,2.03390476190476,12879,49.0628571428571,6068,23.1161904761905,1604,26.4337508239947,35.38672277063,1530.77187596922,743,475,5229,6176,-947,19577,51.9,3399,9.06617588221173,282,3.88858246001103,424,8.0577727099962,11703,21.6046078015101,3666,39.0664961636829,5255,21384,21890,4653,22618,55,3174,14.0330710053939,69.6894950924043,29.0985065258727,5245,23.1894950924043,650,12.4,231,0,0,27,7,3640,70.7142857142857,22.6648351648352,71,39,22,9,13544,250.032306300652,99801434.1025391,52248.2321508338
15,Altona-Altstadt,29408,4486,15.2543525571273,3783,12.8638465723613,5757,19.5763057671382,11150,37.932911478533,2346,52.5537634408602,18059,1.65274932166787,11314,62.6502021152888,2928,16.2135223434299,910,31.0792349726776,2.71787269504,10820.2271775526,390,211,3453,3339,114,12181,56.3,1544,7.11717525583111,112,4.28626100267891,263,8.62012454932809,3611,12.2789717083787,816,20.7580768252353,2196,14861,30833,1611,16313,219,187,1.14632501685772,63.3134310059462,35.1207834602829,2320,14.2217863054006,605,26.1,0,0,0,27,3,1239,57.7885391444713,39.5480225988701,191,48,42,9,6708,228.10119695321,7684882.26367188,14569.8668954155
16,Sternschanze,8080,1146,14.1831683168317,828,10.2475247524752,1612,19.950495049505,2962,36.6448100952617,587,51.3560804899388,5250,1.55904761904762,3542,67.4666666666667,759,14.4571428571429,232,30.566534914361,0.5484489044,14732.4571809282,97,110,1254,1221,33,3399,54,388,6.19709311611564,20,2.76243093922652,53,8.25545171339564,883,10.9282178217822,211,21.2916246215943,513,4147,31125,498,4305,0,80,1.85830429732869,68.2596980255517,36.3685643564356,456,10.5923344947735,77,16.9,0,0,0,4,1,287,54.3554006968641,42.1602787456446,39,6,4,2,1447,179.084158415842,1551663.39599609,8261.93404911072
17,Altona-Nord,22946,3647,15.8938377059182,2297,10.0104593393184,4387,19.1188006624248,8365,36.5140337858484,1875,51.624449339207,13954,1.65135445033682,8752,62.7203669198796,2299,16.475562562706,651,28.3166594171379,2.21781677274,10346.2108691925,331,113,3371,2901,470,9761,57,1139,6.52535090232025,61,2.90753098188751,170,7.44960560911481,2737,11.928004881025,662,20.7263619286162,1617,11541,29901,1159,12084,229,123,1.01787487586892,63.9192320423701,33.6616403730498,1332,11.0228401191658,277,20.8,0,0,0,14,2,955,59.6858638743455,37.2774869109948,34,6,6,5,5166,225.137278828554,6274910.06738281,13678.8974507204
18,Ottensen,35480,5585,15.7412626832018,4891,13.7852311161218,4577,12.9002254791432,9342,26.3429489890872,1933,34.6664275466284,21616,1.66381384159882,13264,61.3619541080681,3745,17.3251295336788,1026,27.3965287049399,2.79519065763,12693.2307473019,457,214,3801,3916,-115,14942,57.9,1197,4.65089171232078,59,1.97456492637216,220,5.45094152626363,2205,6.21476888387824,415,8.55317394888706,1462,18815,40830,2399,19593,108,416,2.1232072679018,70.4211708263155,38.8884441939121,1086,5.54279589649365,572,52.7,0,0,0,34,4,1547,46.8648998060763,51.4544279250162,175,28,61,9,9646,271.871476888388,7903566.84814453,12974.6331550211
19,Bahrenfeld,31160,5216,16.7394094993581,3988,12.798459563543,7464,23.9537869062901,11481,36.8654272228109,2606,49.9904085938999,16912,1.73515846736045,9934,58.7393566698202,2961,17.5082781456954,711,24.0121580547112,10.540972282,2956.08404674486,403,246,4824,4938,-114,12442,55.1,1347,5.93235268211046,140,3.98519783660689,203,6.9377990430622,3800,12.1951219512195,893,19.9955217196597,2290,14963,33565,3535,14490,46,2309,15.9351276742581,69.7907522429262,32.4540436456996,372,2.56728778467909,0,0,714,0,0,27,4,1420,56.056338028169,41.830985915493,39,12,23,5,8654,277.727856225931,29839782.4443359,28120.4643732366
20,Groß Flottbek,11034,2203,19.9655609932935,2368,21.4609389160776,1409,12.7696211709262,2472,22.3892763336654,624,28.3121597096189,5268,2.09320425208808,2282,43.3181473044799,1291,24.5064540622627,180,13.9426800929512,2.3707788771,4654.16665661248,101,95,1232,1181,51,3210,47.2,117,1.70902716914987,5,0.398724082934609,29,2.4126455906822,98,0.888163857168751,13,0.714285714285714,67,5126,85952,2446,5254,17,2209,42.0441568328892,104.260753711458,49.6452782309226,36,0.685192234488009,0,0,0,0,0,7,1,711,15.0492264416315,84.5288326300984,70,13,21,4,4707,426.590538336052,6707705.74121094,11655.5653091026
